Sentença,Classe
"O Swansea ocupa o 18º lugar, com 33 pontos e está a três de distância do Southampton",F
"No entanto, além de vencer e torcer para o rival perder, a equipe ainda tem que tirar uma diferença de nove gols de saldo",F
"No duelo desta sexta-feira, o United, apesar de atuar com oito reservas, foi superior e dominou o primeiro tempo",NF
"Alexis Sánchez teve duas chances, que foram salvas pelo goleiro Adrian",F
"No segundo tempo, o Manchester United diminuiu o ritmo e o jogo só foi esquentar nos minutos finais, quando houve um princípio de confusão",NF
"Paul Pogba deu um carrinho por trás em Mark Noble, que foi tirar satisfação",F
"Outros jogadores entraram para tentar apartar, houve empurra-empurra, mas o árbitro não expulsou ninguém de campo",F
Deu apenas um amarelo para Pogba e para Noble,F
"O Bahia não tomou conhecimento do Vasco nesta quarta-feira, fez a festa da sua torcida e encaminhou a vaga às quartas de final da Copa do Brasil ao vencer por 3 a 0",F
O placar poderia ter sido ainda mais elástico,NF
"O resultado colocou o Bahia em ótimas condições para o confronto de volta, somente no dia 16 de julho, após a Copa do Mundo, em São Januário",NF
"No domingo, a equipe recebe o São Paulo pelo Brasileirão, enquanto o Vasco encara o Vitória, também em casa",F
"Se vinha de três partidas seguidas sem marcar sequer um gol, o Bahia exibiu um volume ofensivo que empolgou o torcedor",NF
"É bem verdade que a defesa do Vasco não se encontrou em nenhum momento e cedeu muito espaços, principalmente nas costas dos alas Yago Pikachu e Henrique",NF
"Após as recentes goleadas sofridas, Zé Ricardo mostrou preocupação com a defesa vascaína mais uma vez e escalou o time com três zagueiros",F
"Não deu certo, porque Paulão viveu mais uma noite para esquecer e os defensores mostraram muita lentidão",NF
O Bahia aproveitou-se disso com bastante movimentação e velocidade desde os primeiros minutos,NF
"Aos cinco, Paulão errou na cobrança de falta no campo de defesa e Elton finalizou cruzado, para fora",F
"Aos 13, Vinícius quase marcou e, no rebote, Zé Rafael foi travado na hora certa",F
"O gol parecia questão de tempo, e veio somente cinco minutos mais tarde",NF
"João Pedro recebeu pela direita, foi cortando pelo meio e bateu de esquerda, travado",F
"A sobra ficou com Zé Rafael, que finalizou colocado, no ângulo esquerdo de Martín Silva",F
"Mesmo com a vantagem, o Bahia manteve o padrão e seguiu criando chance atrás de chance",NF
"Aos 20, após rápido contra-ataque, Edigar Junio recebeu de Vinícius e bateu rente à trave",F
"Mas quatro minutos mais tarde, o mesmo atacante aproveitou falta cobrada pela direita e subiu para marcar o segundo",F
"Era um verdadeiro massacre, que só não se tornou uma goleada ainda no primeiro tempo devido aos erros nas finalizações dos donos da casa",NF
"Aos 26, Élber recebeu na área e bateu, mas Paulão salvou de carrinho",F
"Três minutos mais tarde, foi Elton quem desperdiçou bom momento",NF
Só então o Bahia diminuiu o ritmo,NF
Mas isso apenas até o intervalo,F
"Na volta para o segundo tempo, o time voltou a apertar e quase marcou o terceiro logo com um minuto",NF
"João Pedro cruzou rasteiro, Élber dominou e ainda limpou o zagueiro antes de bater firme",F
Martín Silva fez grande defesa,F
"Mas três minutos mais tarde, o uruguaio nada pôde fazer",F
"Desábato perdeu na intermediária, Zé Rafael roubou e encontrou Vinícius, que bateu no canto esquerdo",F
A bola ainda tocou na trave antes de entrar,F
A tranquilidade pelo terceiro gol e o cansaço finalmente diminuíram o ritmo baiano,NF
"Mesmo assim, o Vasco sequer ameaçava o gol de Douglas Friedrich",NF
"Aos 30, João Pedro arriscou cruzado, Martín Silva defendeu e a sobra ficou com Edigar Junio, que exigiu outra ótima intervenção do uruguaio",F
"Somente nos acréscimos, Kelvin teve a chance de diminuir, mas jogou por cima",F
"Longe de fazer um grande jogo e chegando a ouvir vaias da torcida durante a partida, o São Paulo conseguiu derrotar o Rosario Central em casa nesta quarta-feira, por 1 a 0, e segue vivo na Sul-Americana",F
"Com gol de canela de Diego Souza, o time de Diego Aguirre superou o ""trauma"" de ter caído na 1ª fase do torneio no ano passado e dá uma razão para seu torcedor acreditar em uma reviravolta na temporada que começou ruim",F
"Contestado e em baixa até poucos dias, o herói da classificação, Diego Souza, chegou ao seu quinto gol pelo São Paulo, passou Nenê na artilharia do time na temporada e volta a se firmar como titular na equipe de Aguirre",F
"Após um empate sem gols no duelo de ida na Argentina, o São Paulo sabia que precisava ir para frente para se classificar",F
"Sem Rodrigo Caio, suspenso, e Militão, com dores musculares, Aguirre precisou abrir mão do sistema com três zagueiros",F
"Apostou em três volantes, com Petros mais avançado, tentando fazer a articulação com Nenê e Diego Souza na frente",F
Não demorou para ter chances claras de gol,NF
"Aos sete minutos, Diego Souza furou bola desviada por Valdívia em cobrança de falta de Nenê",F
Uma chance claríssima,NF
"Só não mais que a de Petros, dois minutos depois, que recebeu passe de cabeça de Diego Souza na pequena área e chutou para fora",F
"A postura ofensiva do time de Aguirre animava a torcida, que passava a ver o São Paulo com facilidade para entrar na área dos argentinos, principalmente nas bolas aéreas",NF
"Aos 19, Nenê recebeu cruzamento de Diego Souza pela direita, mas parou nas mãos do goleiro Ledesma",F
"E então, o jogo ficou truncado",NF
Muitos passes errados e quase nenhuma jogada que terminasse em finalização,NF
O Rosario se acertou na marcação e passou a crescer na partida,NF
"De fora da área, Da Campo quase surpreendeu Sidão em duas oportunidades",F
"Enquanto isso, o São Paulo perdia em intensidade",NF
"Ao fim do primeiro tempo, vaias da torcida no Morumbi",F
"Na volta para o segundo tempo, foi o Rosario Central quem teve a primeira chance de perigo, com Pereyra tirando tinta da trave de Sidão",F
"Mas foi Diego Souza, aos 15, que estava no local certo e na hora certa para abrir o placar",F
"Reinaldo invadiu a área e, tropeçando, chutou na trave",F
A bola bateu na canela de Diego Souza e entrou,F
"O Rosario teve chance de empatar em cabeçada de Da Campo, mas Sidão pulou para buscar a bola",F
"À frente no placar, o São Paulo recuou, valorizou a posse de bola e tentava articular jogadas nos erros dos argentinos",NF
"Com mais espaço no meio-campo, o Rosario, que precisava de um gol para mudar a história do jogo, tentava se aproximar da área tricolor, mas perdia na marcação do setor defensivo do São Paulo",NF
Nem mesmo as expulsões de Cueva e Petros nos últimos minutos mudaram o resultado,F
"O Palmeiras aproveitou a estreia na Copa do Brasil para ampliar a boa fase e mostrar a força do ataque para o clássico deste domingo contra o Corinthians, pelo Campeonato Brasileiro, na casa do rival",F
"Jogando no estádio Independência, em Belo Horizonte, o time venceu o América-MG por 2 a 1",F
"No jogo de volta, no próximo dia 23, vai atuar pelo empate em casa",F
"Agora, a equipe do técnico Roger Machado tem oito jogos de invencibilidade",F
"Por outro lado, a vitória deixou um motivo de preocupação para os palmeirenses: o desempenho da defesa",NF
"O zagueiro Antonio Carlos falhou feio em uma saída de bola, permitindo o gol do América-MG, e o setor se mostrou vulnerável nas jogadas pelo alto",NF
"No jogo desta quarta-feira, o Palmeiras mostrou como consegue ser o melhor visitante do futebol brasileiro na temporada",NF
A equipe mantém o padrão tático e toma a iniciativa mesmo na casa dos rivais,F
"A equipe alviverde tocou a bola no campo do adversário como se estivesse no estádio Allianz Parque, em São Paulo",NF
"Para isso, aproveitou obviamente sua organização tática e a qualidade técnica superior dos atletas do meio para a frente",NF
Mas os números mostram que o cenário desse jogo não foi um fato isolado,F
Quase sempre o Palmeiras impõe seu jogo,NF
"Considerando todos os torneios e também o jogo no estádio Independência, o time alviverde atuou como visitante em 15 ocasiões",F
"Ganhou 12, empatou duas e foi superado em uma única partida - diante do Corinthians, na fase de classificação do Campeonato Paulista",F
A mobilidade foi o ponto forte,NF
"Depois de passagens por Borussia Dortmund e Mainz, na Alemanha, Thomas Tuchel terá, na próxima temporada, sua primeira empreitada fora de seu país",F
"O treinador assumirá o comando do Paris Saint-Germain, de Neymar e companhia",F
"Como a imprensa francesa vinha noticiando nos últimos dias, o comandante o alemão era o favorito para assumir a vaga de Unai Emery, e na tarde desta segunda-feira foi oficializado na função",F
"Existe um potencial extraordinário no clube, e este é o desafio mais tentador que já tive",NF
"Também estou ansioso para conhecer o Parque dos Príncipes, um lendário estádio de futebol europeu com uma atmosfera fantástica”",NF
disse o treinador que assinou contrato de duas temporadas,F
Thomas é um dos treinadores europeus mais competitivos que surgiram nos últimos anos,NF
"É fortemente ligados a princípios espetaculares e eficazes que sempre alimentaram a força do futebol alemão, especialmente no âmbito internacional",NF
"Sua personalidade ambiciosa, gosto para um jogo ofensivo e sua força de caráter se encaixam no estilo do Paris Saint-Germain",NF
Esse estilo que os fãs do nosso clube sempre procuraram e admiraram”,NF
"disse o presidente do clube francês, Nasser Al-Khelaifi",F
"Sem clube desde maio de 2017, quando deixou o Borussia Dortmund, o alemão de 44 anos foi elogiado pelo PSG por ser um “fã de um futebol ofensivo e dinâmico que inovou os padrões da Alemanha”",F
"Nas duas temporadas em que esteve na frente dos auri-negros, Tuchel conquistou 67 vitórias em 107 partida, porém, só conquistou a Copa da Alemanha de 2016-17",F
Ninguém imagina que Neymar não seja um dos 23 nomes convocados por Tite para a Copa do Mundo da Rússia,NF
"Mesmo assim, o camisa 10 e referência técnica da Seleção Brasileira mantém a expectativa por ouvir seu nome da boca do treinador e externou esse “nervosismo” com uma foto nas redes sociais",F
"Mesmo sem jogar desde fevereiro, quando fraturou o quinto metatarso do pé direito, Neymar não deve correr riscos para atuar com 100% de suas condições físicas no Mundial",NF
"No último domingo, ele foi liberado para voltar a treinar com bola pelo médico da Seleção Rodrigo Lasmar, que foi até Paris para acompanhar a situação de Daniel Alves, confirmado fora da competição",F
"A expectativa do departamento médico é de que o retorno de Neymar em uma partida seja no amistoso contra a Croácia, programado para o dia 3 de junho",F
"A estreia no na Copa será dia 17, contra a Suíça, em Rostov.",F
"Nesta segunda-feira, foi divulgado o resultado da última instância do julgamento de Paolo Guerrero, atacante do Flamengo e da seleção do Peru, por doping para benzoilecgonina, um metabólico da coca e da cocaína",F
"A decisão do Tribunal Arbitral do Esporte (CAS, na sigla em inglês), foi a de aumentar a pena de Guerrero para 14 meses, e com isso, o jogador está fora da Copa do Mundo da Rússia",F
"A decisão em última instância é definitiva, e não cabe mais recurso",F
"A defesa pedia a anulação por completo da pena, e a punição foi reduzida para seis meses",F
"O atacante estava cumprindo a suspensão provisória desde o dia 3 de novembro, e no dia 3 de maio, após nova audiência, ficou liberado para atuar até que a decisão final fosse divulgada",F
"Dos 14 meses de pena, portanto, o camisa 9 já cumpriu seis",F
"Guerrero alega que tomou chá de coca e chá com uma mistura com a folha de coca no hotel que a seleção peruana estava concentrada para o jogo diante da Argentina, pelas eliminatórias da Copa, no dia 5 de outubro",F
"O seu teste deu positivo para benzoilecgonina, resultado do metabolismo da coca ou da cocaína no organismo, que está na lista de substância proibidas pela Wada (Agência Mundial Antidoping, na sigla em inglês)",F
A lista de convocados da Seleção Argentina para a Copa do Mundode 2018 foi divulgada nesta segunda-feira (14/05),F
O técnico Jorge Sampaoli será o comandante no Mundial.,F
"O Manchester City confirmou nesta segunda-feira que Pablo Maffeo foi vendido para o Stuttgart, da Alemanha, por 10 milhões de euros (R$ 42,6 milhões)",F
"O jogador de 20 anos estava emprestado ao Girona, da Espanha",F
disse o lateral-direito em nota divulgada pela empresa que o representa,F
"Nascido em 1997, a jovem promessa foi convocada algumas vezes para jogar na seleção espanhola sub21 e estava atuando no Girona desde 2016, entre Copa do Rei, segunda e primeira divisão do Campeonato Espanhol",NF
"O São Paulo chegou de Salvador e já iniciou o trabalho de olho no clássico contra o Santos, marcado para o próximo domino, no Morumbi, pela sexta rodada do Campeonato Brasileiro",F
Os titulares que participaram do empate com o Bahia ficaram apenas na área interna do CT da Barra Funda para uma atividade regenerativa,F
"No campo, jogadores como Petros e Liziero comandaram um treino puxado debaixo de Sol forte ao lado daqueles que não foram utilizados por Diego Aguirre no domingo, também com a companhia de Valdívia e Shaylon, dupla que atuou apenas no segundo tempo",NF
"Havia a expectativa pela presença de Diego Souza e Rodrigo Caio no gramado, mas ambos ficaram fazendo tratamento",NF
"O camisa 9 cuida de um edema na coxa esquerda, enquanto o zagueiro faz reforço muscular depois de sofrer uma torção no pé esquerdo",F
"Como não têm lesão, a tendência que é que os dois atletas estejam entre os relacionados para enfrentar o Santos",F
"Mesmo assim, o clube prefere agir com cautela e aguardar a resposta para isso durante a semana livre, nos treinamentos",F
"Diego Souza sentiu o incômodo no segundo tempo do duelo com o Rosario Central, pouco depois de marcar o gol da classificação do São Paulo na Copa Sul-Americana",F
"Já Rodrigo Caio se machucou em Fortaleza, durante o empate sem gols com o Ceará, há cinco jogos",F
Outra preocupação do departamento médico é com Éder Militão,F
O zagueiro deixou o a partida na Fonte Nova mancando bastante por causa de dores na coxa esquerda,NF
"Na manhã dessa segunda, fez exames, mas o diagnostico deve sair mais tarde",NF
"Não bastasse isso, Anderson Martins também gera preocupação",NF
"Com um trauma na coxa esquerda, o zagueiro é dúvida para enfrentar o Santos, assim como Morato, que novamente sequer deve ficar à disposição devido a um entrose no tornozelo esquerdo",F
"Com o que sobrou do elenco, André Aguirre observou um treino focado em trabalho de bola em espaço reduzido sob gritos de seu auxiliar, e também reservou parte do tempo para atividades físicas de explosão muscular, com piques curtos dos atletas",F
"Nessa terça-feira o elenco do São Paulo ganha um dia de folga e, na quarta, volta ao trabalho totalmente focado na preparação para enfrentar o Santos, no Morumbi e, quem sabe, acabar com a série de quatro empates seguidos no Brasileirão",NF
O atacante Paolo Guerrero está fora da Copa do Mundo de 2018,F
"Nesta segunda-feira, o escritório de advocacia Kellerhals Carrard Sports Law Team, que representa a Wada (Associação Mundial Antidoping) no caso de doping do centroavante do Flamengo na CAS (Corte Arbitral do Esporte) informou que venceu a causa, conseguindo impor uma suspensão de 14 meses ao atleta",F
"Ele havia sido flagrado durante partida da seleção peruana contra a Argentina, nas eliminatórias do Mundial da Rússia",F
"""A CAS aceitou a apelação da Wada e impôs uma suspensão de 14 meses a Paolo Guerrero, capitão do Peru",F
"O Kellerhals Carrard Sports Law Team fica feliz de ter representado a Wada com sucesso nesse procedimento""",NF
"escreveu o escritório - a CAS confirmou o fato pouco depois, em comunicado",F
A informação também foi confirmada à ESPN pelos advogados do atleta,F
"Guerrero já havia cumprido seis meses de gancho, e agora precisará ficar mais oito meses fora dos gramados",F
"Ele foi punido após ter detectada a substância proibida benzoilecgonina, principal metabólito da cocaína, em seu sangue",F
A defesa alegou que houve contaminação em chá tomado na concentração do Peru,F
"Como não cabe recurso à decisão da CAS, que é a última instância desportiva no planeta, o centroavante está fora da Copa e também não poderá jogar pelo Fla",F
"Ele esteve em campo no último domingo e até marcou um gol na derrota por 3 a 2 para a Chapecoense, pela 5ª rodada do Campeonato Brasileiro",F
"Como seu contrato com o clube rubro-negro só vai até o dia 10 de agosto, o peruano não deve mais vestir a camisa flamenguista",F
"Nesta segunda-feira, antes da comunicação do escritório de advocacia, Guerrero posou para fotos de divulgação da seleção peruana para a Copa do Mundo",F
"No entanto, o material agora não poderá mais ser utilizado",F
"Em contato com a ESPN, a Federação Peruana de Futebol disse que ainda não recebeu nenhum tipo de confirmação oficial da CAS sobre a punição imposta a Guerrero",F
"Contudo, admitem já estar cientes da suspensão do camisa 9",F
"O lateral-esquerdo Fábio Coentrão surpreendeu a todos nesta segunda-feira com o anúncio de que não representará a seleção portuguesa na Copa do Mundo, a partir de junho, na Rússia",F
"Segundo o jogador de 30 anos, que pertence ao Real Madrid e teve passagens por Benfica, Monaco e Sporting, ele está desgastado após mais uma temporada do futebol europeu e afirmou que não se sente preparado para atuar em alto nível nos próximos meses",F
"escreveu, em comunicado por meio de sua conta pessoal do Instagram",F
"O lateral-esquerdo não foi cria da base do Benfica, já que foi revelado pelo pequeno Rio Ave, mas foi nos Encarnados em que ele obteve maior destaque na carreira",NF
"Em julho de 2011, o Real Madrid acertou a compra de seus direitos por 30 milhões de euros",F
"No clube merengue, Coentrão nunca foi um dos principais jogadores, mas, com José Mourinho, chegou a ser titular da posição, fazendo com que o brasileiro Marcelo jogasse mais à frente, no meio-campo",NF
"A partir de 2015, porém, ele passeou por França e Portugal emprestado",F
"Em 30 de junho ele retornará ao Bernabéu para seu último ano de contrato em Madri, após realizar 43 partidas ao todo com a camisa do Sporting",F
"O goleiro Santos, do Atlético-PR, protagonizou uma cena inusitada momentos antes do duelo com o Atlético-MG, no último domingo, na Arena da Baixada",NF
"Vestindo uniforme e luvas, o camisa 1 foi flagrado por um cinegrafista amador usando o seu aparelho celular, e o vídeo acabou sendo amplamente divulgado nas redes sociais",F
"A atitude, criticada pela torcida em decorrência do risco que poderia causar à meta da equipe, foi explicada pelo próprio jogador nesta segunda-feira",F
"De acordo com Santos, a ação fez parte de uma campanha sobre prevenção de acidentes no trânsito",F
"A campanha em questão foi realizada para o Maio Amarelo, movimento que mobiliza milhões de pessoas no mundo todo pela conscientização sobre um trânsito mais seguro",F
O fato de não ter avisado o clube sobre a ação gerou questionamentos e críticas ao goleiro após a derrota por 2 a 1 para o Galo,F
"Em entrevista coletiva concedida depois da partida no último domingo, o técnico Fernando Diniz se mostrou surpreso com o fato",NF
A Copa do Mundo também já começou para a Dinamarca,F
"Nesta segunda-feira, o treinador Age Hareide anunciou sua lista com 35 jogadores pré-convocados para a disputa do Mundial e optou por uma mescla de jogadores mais jovens com outros mais experientes",F
"Referência técnica da equipe, o meia Christian Eriksen também foi chamado, assim como o arqueiro do Leicester, Kasper Schmeichel",NF
"Entre as escolhas mais “experientes” estão o meia Krohn-Dehli, de 34 anos, que disputou a Eurocopa de 2012 e nesta temporada acabou rebaixado na Espanha com o Deportivo La Coruña, e o centroavante Bendtner, que aos 30 anos defende o Rosenborg, da Noruega",F
Suas contribuições para a Seleção foram pela Euro de 2012 e a Copa do Mundo de 2010,F
"Os novatos da lista são os meias Mathias Jensem e Robert Skov, de 21 e 22 anos, respectivamente",F
"Outro jovem convocado foi o atacante Kasper Dolberg, uma das esperanças de gols da Dinamarca para classificar no Grupo C, junto com França, Peru e Dinamarca",NF
"Os 35 convocados pela Federação Dinamarquesa farão parte de um período de treinamentos entre os dias 23 e 25 de maio, quando Hareide definirá a lista final de 23 nomes que irão compor a delegação na Rússia",F
"Antes da estreia na Copa, programada para o dia 16 de junho contra o Peru, ainda farão dois amistosos contra Suécia e México, nos dias 2 e 9, respectivamente",F
Uma boa notícia para o futebol brasileiro: o goleiro Ederson renovou seu vínculo com o Manchester City até 2025,NF
"Tendo conseguido ficar 21 jogos sem levar gols pela equipe inglesa, o brasileiro confia em suas boas atuações para ter aumentado seu contrato",NF
"Nesta segunda-feira, Ederson aguarda a convocação do técnico Tite",F
Esta será sua primeira participação em Copas do Mundo caso seja chamado para compor a Seleção Brasileira,F
"O goleiro tem 24 anos, chegou no City em 2017, vindo do Benfica, e ajudou na conquista do Campeonato Inglês desta temporada",F
Thomas Tuchel é o novo técnico do PSG,F
"Nesta segunda-feira, o clube francês anunciou a chegada do ex-treinador Borussia Dortmund por duas temporadas",F
Ele chega para substituir Unai Emery,F
"É o desafio mais excitante que chegou até mim""",NF
falou Tuchel em entrevista ao site do clube,F
"O presidente do PSG, Nasser Al-Khelaïfi, elogiou o treinador",F
Thomas é um dos treinadores europeus mais competitivos que surgiram nos últimos anos,NF
"Sua personalidade ambiciosa, seu gosto assertivo por jogadas que se movem para frente e sua força de caráter fazem parte do estilo que sempre ouvimos",NF
"Nascido em agosto de 1973, Tuchel era zagueiro e foi revelado pelo Augsburg",F
O primeiro time a lhe dar uma chance como profissional foi o Stuttgarter Kickers,F
"Após poucas partidas, foi para o Ulm 1846, clube no qual se aposentou por conta de uma grave lesão",F
"Como treinador, se destacou no Mainz 05 e foi escolhido pelo Borussia Dortmund para ser o substituto de Jurgen Klopp, que havia se transferido para o Liverpool",F
"Faltando pouco mais de um mês para a Copa do Mundo na Rússia, uma das principais redes sociais do mundo mostram como estão as conversas dos brasileiros quando o assunto é o Mundial",F
"O twitter mostra que no Brasil, os jogadores mais mencionados em Tweets relacionados ao tema foram Daniel Alves (@DaniAlvesD2), Gabriel Jesus (@gabrieljesus33), Neymar Jr (@neymarjr), Philippe Coutinho e Cristiano Ronaldo (@Cristiano)",F
"Os dados foram compilados do início deste ano até o último sábado (12) e entre as hashtags mais usadas no Brasil estão #Russia2018, #WorldCup, #Fifa18, #Copa2018, #SeleçãoBrasileira e #GigantesPorNatureza",F
"O Brasil estreará na Copa do Mundo no dia 17 de junho contra a Suíça, depois enfrentará a Costa Rica na sexta-feira dia 22 e termina a fase de grupos contra a Sérvia no dia 27, última quarta-feira do próximo mês",F
"Depois de ter anunciado a saída de Unai Emery, o Paris Saint-Germain continua na busca de um novo comandante para a próxima temporada",F
"Segundo o jornal argentino Olé, o alvo dos franceses seria o atual técnico do Atlético de Madrid, Diego Simeone, mas sua mulher, a modelo Carla Pereyra, afirmou que, mesmo com a oferta do dobro do que ele recebe em Madri, a família não mudará de ares",F
Diego tem recebido propostas muito importantes,NF
Simeone chegou no Atlético de Madrid em dezembro de 2011 e já comandou 375 partidas oficiais da equipe,F
"Já são cinco títulos conquistados e este número pode aumentar na próxima quarta-feira, contra o Olympique de Marseille, na final da Liga Europa, às 15h45 (de Brasília)",F
"Tanto Carla Pereyra quanto a filha do casal, Francesca, estarão presentes na decisão, que acontece no Parc OL, em Lyon",F
"Já o jornal alemão Suddeutsche Zeitung afirma que Thomas Tuchel, também um dos cotados para assumir o clube parisiense, será anunciado nos próximos dias",F
"Ele, inclusive, teria ido a Paris para conhecer os jogadores, inclusive Neymar, com quem já teria até conversado",F
"Após vencer o clássico diante do Palmeiras pelo Campeonato Brasileiro, o Corinthians retornou às atividades no CT Joaquim Grava de uma maneira diferente",NF
"Nesta segunda-feira, a equipe considerada reserva do clube paulista realizou um jogo-treino contra a Seleção Brasileira Sub-20 e acabou sendo derrotada pelo placar de 2 a 1",F
"Os gols do Brasil foram marcados por Tetê, joia da base do Grêmio, enquanto Roger descontou para o Timão",F
"A partida faz parte da preparação da equipe de base do país, para a disputa do Sul-Americano 2019, que concederá vagas ao Mundial, programado para 2020",F
A seleção vem treinando no CT corinthiano desde o último dia 7 de maio,F
"No entanto, a partida também serviu como um teste importante para vários jogadores do elenco de Fábio Carille",NF
No primeiro dos dois tempos de 35 minutos o Brasil foi bastante superior aos reservas corinthianos,NF
"Com jogadas rápidas criadas principalmente pelos pontas, Toró, da base do São Paulo, e Tetê, do Grêmio, a Seleção abriu 2 a 0 no marcador com dois gols marcados pela promessa gremista",NF
"Para o segundo tempo, Carlos Amadeu trocou toda a seleção brasileira, enquanto Fábio Carille promoveu as entradas de Roger, Kazim, Bruno Xavier e Rodrigo Figueiredo, nos lugares de Marquinhos Gabriel, Júnior Dutra, Mateus Vital e Mateus Matias",F
"As mudanças melhoram a produção da equipe do Corinthians, que atuou num 4-4-2 com dois centroavantes",NF
"Porém, o desentrosamento da equipe corinthiana dificultou a criação de jogadas claras",NF
"Na melhor delas, Bruno Xavier fez boa jogada pela esquerda e fez um belo cruzamento para Roger cabecear bonito tirando do alcance do goleiro da seleção",NF
"Enquanto os reservas realizam o jogo-treino contra o Brasil, os titulares ficaram na parte interna do CT realizando um trabalho regenerativo após o clássico do último domingo",F
"Alguns dos titulares, como Pedrinho, Sidcley e Mantuan foram até a beirada do gramado e acompanharam a atividade",F
"O Timão volta a treinar na manhã desta terça-feira, na última atividade realizada em solo brasileiro antes do confronto contra o Deportivo Lara, válido pela quinta rodada da fase de grupo da Libertadores",F
"O Flamengo perdeu a invencibilidade no Campeonato Brasileiro ao ser derrotado pela Chapecoense, na Arena Condá, no último final de semana",F
"O técnico Maurício Barbieri poupou alguns titulares, mas o resultado foi lamentado pelos rubro-negros",NF
"No entanto, o elenco já está focado na partida desta quarta-feira, contra o Emelec-EQU, no Maracanã, pela Libertadores",NF
Uma vitória garante os cariocas nas oitavas de final da competição,F
O meia Diego afirmou que o Flamengo vive boa fase e precisa manter o foco para o duelo deste meio de semana,NF
"Já o atacante Guerrero, que marcou seu primeiro gol após o retorno da suspensão, pregou atenção",F
"Para o peruano, os rubro-negros precisam aprender com os erros cometidos contra a Chapecoense para não serem surpreendidos pelo Emelec",F
"Com seis pontos, o Flamengo está na segunda posição do Grupo 4 da Libertadores",F
"Caso vença, os rubro-negros avançam para as oitavas de final de forma antecipada e vão encarar o River Plate na última rodada para decidir a liderança da chave",F
O Vasco mostrou que não vive bom momento ao ser derrotado em São Januário pelo Vitória,NF
O resultado acabou com a invencibilidade dos cruzmaltinos na Série A e impediu que a equipe colasse nos líderes da competição,F
O técnico Zé Ricardo lamentou o revés e admitiu pela primeira vez que o ambiente político instável do clube tem atrapalhado os jogadores,F
"A defesa mais uma vez foi vazada, mesmo com as mudanças feitas por Zé Ricardo",NF
"Mesmo assim, o comandante elogiou as atuações de Bruno e Bruno Silva, que iniciaram a partida entre os titulares",F
"Zé Ricardo se irritou ao ser questionado sobre não ter utilizado o jovem Ricardo Graça, pedido constante dos torcedores",NF
"O Vasco terá a semana para trabalhar visando o clássico contra o Flamengo, no próximo sábado, no Maracanã",F
Zé Ricardo espera melhorar a parte física do elenco para encarar o líder do Campeonato Brasileiro,F
"Atualmente jogando no Kitchee, de Hong Kong, o atacante Diego Forlán afirmou à rádio Onda Cero que os torcedores seriam hipócritas se criticassem Antoine Griezmann por deixar por dinheiro o Atlético de Madrid pelo Barcelona na janela de transferências de verão",F
"Os colchoneros ficaram irritados com figuras importantes do Barça, como o presidente, Josep Maria Bartomeu, e o atacante Luis Suárez, que recentemente falaram abertamente da possibilidade do francês chegar ao clube catalão",F
"O diretor executivo do Atlético, Miguel Angel Gil Marin, aliás, bradou “basta” para a situação e disse que o Barcelona deveria recuar na investida por Griezmann",F
"Forlán, entretanto, disse que situações como essas acontecem sempre no futebol e que não foi nada diferente de quando a equipe de Madri o contratou da Real Sociedad, em 2014",F
"A especulação pelos jornais espanhóis é de que a final da Europa League, diante do Olympique de Marselha, da França, em Lyon, será a última partida de Griezmann com a camisa vermelha e branca",F
"De acordo com a rádio Cadena Cope, o Barça ofereceu ao atacante um contrato de 20 milhões de euros por ano, além dos 100 milhões de euros previstos na multa rescisória do jogador com o Atlético",F
"No último domingo, causou muito estranhamento o fato do goleiro Santos, do Atlético-PR, ter apanhado um celular e mexido no aparelho momentos antes do início da partida contra o Atlético-MG, pelo Campeonato Brasileiro, o que é proibido pelas regras da CBF (Confederação Brasileira de Futebol)",NF
"Segundo apurou a ESPN, porém, tudo foi feito com a melhor das intenções",F
"O fato foi na verdade uma ação de marketing do movimento ""Maio Amarelo"", que faz prevenção sobre acidentes de trânsito",F
"Trata-se de uma campanha global pela diminuição de mortes no tráfego, alertando que, atualmente, o uso de celular ao volante mata tantas pessoas quanto o consumo de álcool antes de dirigir",F
"A ação foi criada pela agência Tech and Soul, de São Paulo, para o aplicativo de transportes Uber, e foi combinada previamente com o Atlético-PR, que inclusive convocou uma entrevista coletiva nesta segunda-feira, em Curitiba, para explicá-la",F
"No entanto, nem a CBF e nem o árbitro Luiz Flavio de Oliveira foram avisados",F
"Apesar disso, Oliveira não puniu Santos e também não reportou o uso do celular na súmula da partida, que já foi disponibilizada online",F
A ideia da agência que bolou a campanha era que todos filmassem Santos ao celular,F
Ainda foram feitas filmagens da Tech and Soul para uso nas redes sociais,F
"Com o fim da temporada para o PSG, logo o nome do novo treinador deverá ser anunciado",NF
"Segundo o jornal Mundo Desportivo, o time francês tenta fazer 'suspense', mas o substituto de Unai Emery é o ex- Borussia Dortmund, Thomas Tuchel",F
"Ainda na publicação, há a informação que Tuchel assinará por duas temporadas, e possui o compromisso de que o PSG não venderá o jogador brasileiro",F
Neymar é o futuro da equipe,NF
"O treinador deve ficar alguns dias em Paris, até fazer um curso de francês intensivo na Bélgica",F
Carlos Tévez já tem bem traçado o seu futuro,NF
"O jogador do Boca Juniors revelou seus planos em entrevista ao programa Pasión por el Fútbol, do Canal 13, da Argentina, revelando quando pretende encerrar a carreira",F
